,CME_BO1,CME_BO10,CME_BO2,CME_BO3,CME_BO4,CME_BO5,CME_BO6,CME_BO7,CME_BO8,CME_BO9,CME_C1,CME_C10,CME_C2,CME_C3,CME_C4,CME_C5,CME_C6,CME_C7,CME_C8,CME_C9,CME_KW1,CME_KW4,CME_KW5,CME_KW6,CME_S1,CME_S10,CME_S2,CME_S3,CME_S4,CME_S5,CME_S6,CME_S7,CME_S8,CME_S9,CME_SM1,CME_SM10,CME_SM11,CME_SM2,CME_SM3,CME_SM4,CME_SM5,CME_SM6,CME_SM7,CME_SM8,CME_SM9,CME_W1,CME_W2,CME_W3,CME_W4,CME_W5,CME_W6,CME_W7,CME_YC2,CME_YC3,CME_YW1,CME_YW2
206,0.00883280757097804,,0.009139615505830534,0.008437500000000098,0.006201550387596955,0.008639308855291628,0.008633980881899594,0.008641975308641971,0.008698353525939728,0.009014609884985923,0.023684210526315752,,0.010165184243964507,0.00995024875621886,-0.002450980392156854,0.0096735187424426,0.009512485136742077,,,,0.013832384052074877,0.018459069020866803,0.014960629921259903,0.014649190439475657,0.007744433688286589,,0.012572533849129595,0.011483253588516762,0.011938872970391534,0.009073543457497557,0.008771929824561429,0.009920634920634884,,,0.007942417473318475,,,0.005683355886332953,0.0061884669479606025,0.005154639175257714,0.00776531492666077,0.0060606060606061,0.0061135371179039675,0.005631298162418696,0.005371530886302489,0.028643639427127218,0.025773195876288568,0.0264957264957264,0.021240441801189558,0.02263202011735133,0.023848684210526327,,0.011421319796954377,0.01056556867619629,0.028655710071639362,-0.0012892135797163418
207,0.010631644777986171,,0.01499063085571506,0.016423923148434882,0.013867488443759513,0.006423982869379064,0.009477224090492342,0.0052019583843330155,0.012011087157375977,0.012322858903265566,0.04498714652956304,,0.044025157232704386,0.03571428571428581,0.0429975429975431,0.031137724550898138,0.014134275618374659,,,,0.01605136436597121,0.010244286840031423,0.02948021722265315,0.008358662613981771,0.00672430355427478,,0.006685768863419206,0.001892147587511772,0.004247286455875354,0.004259346900141958,0.002898550724637739,0.0014734774066798018,,,-0.09874415168677676,,,-0.04467168998923576,-0.00754822476935979,-0.00313390313390316,-0.003710045662100314,-0.008605851979345934,-0.02141203703703709,-0.010904804008252222,-0.00385871178391195,-0.009009009009009028,0.01842546063651596,0.010824313072439695,0.009983361064891838,0.02786885245901649,0.0072289156626506035,,0.02132998745294845,0.03690036900368998,-0.006145022531749311,0.04776247848537008
208,-0.0037128712871286047,,-0.0030769230769230878,0.003048780487804992,0.007294832826747698,0.0003039513677811634,-0.004845548152634826,-0.007914764079147596,-0.010042604990870285,,0.004920049200491938,,0.0024096385542169423,0.0035671819262781397,0.004711425206124886,0.004645760743321682,,,,,0.018957345971563955,0.03354134165366607,0.018085908063300682,,-0.009541984732824416,,-0.009487666034155628,-0.007554296506137814,-0.007518796992481258,-0.007540056550424112,-0.0077071290944122905,-0.008337420304070586,,,-0.001366120218579181,,,-0.005633802816901401,-0.02056338028169014,-0.011146041726207478,-0.01145803494700659,-0.0107060185185186,-0.010053222945002882,-0.010429082240762777,,0.02314049586776856,0.019736842105263053,0.02224052718286651,0.033772652388797335,0.018341307814992103,,,0.023341523341523285,0.0023724792408066357,0.021022258862324783,0.02053388090349073
209,-0.013354037267080844,,-0.011728395061728292,-0.021276595744680767,-0.02232951116475568,-0.014281373442722513,-0.013390139987827121,-0.01258054617980986,-0.013833384568091134,,-0.008567931456548328,,-0.004807692307692291,-0.0011848341232227886,-0.010550996483001174,-0.0046242774566473965,,,,,0.010852713178294504,0.010566037735848964,0.009622501850481193,,-0.01541425818882469,,-0.013409961685823757,-0.014272121788772575,-0.0132575757575758,-0.013295346628679929,-0.011165048543689271,-0.006923837784371889,,,-0.025444596443228492,,,-0.013314447592067902,-0.012654587287891816,-0.01184971098265908,-0.011880614314691451,-0.010236911377595748,-0.008363201911589013,-0.0072267389340561206,,0.001615508885298933,0.010483870967741948,0.01208702659145855,0.007171314741035939,0.0070477682067344736,,,-0.004801920768307322,-0.0035502958579881616,0.006863140896245401,0.008048289738430636
210,-0.000944287063267324,,-0.003435352904434863,-0.001242236024844967,0.0015432098765433278,-0.0012330456226880007,-0.0012338062924120985,-0.0015537600994405265,-0.0009351620947630755,,0.009876543209876631,,0.006038647342995196,0.0047449584816132715,0.0082938388625593,0.0011614401858304204,,,,,0.04141104294478537,0.03286034353995526,0.03005865102639293,,0.00391389432485334,,0.003883495145631022,0.004826254826254761,0.0038387715930903172,0.004812319538017418,0.006381934216985741,0.004980079681274896,,,0.0067377877596856975,,,0.0040195233993682855,0.005534517914360659,0.0061421468265574495,0.006451612903225712,0.007683215130023678,0.009036144578313143,0.009705793145283527,,0.04516129032258065,0.03830806065442927,0.028662420382165713,0.015031645569620222,0.03110419906687412,,,0.004825090470446325,0.0053444180522566045,0.04009623095429027,0.03912175648702587
211,0.001890359168241984,,0.004387339392039946,0.004353233830845849,0.0,0.00401234567901243,0.0037059913526866772,0.003112356053532439,0.002808112324493184,,0.006112469437652868,,0.006002400960384069,0.0059031877213695525,0.005875440658049458,0.006960556844547661,,,,,0.00589101620029453,0.005784526391901634,0.004270462633451988,,0.0077972709551656924,,0.007736943907156624,0.009125840537944184,0.004780114722753304,0.009099616858237571,0.008780487804878057,0.008919722497522375,,,0.01868377021751244,,,0.010294538175579238,0.006662804171494896,0.007848837209302184,0.006410256410256388,0.0067448680351906995,0.009552238805970116,0.010513667768098587,,0.0077160493827159735,0.009223674096848544,0.009287925696594534,0.029618082618862118,0.010558069381598756,,,0.007202881152460926,0.0070880094506793325,0.012336160370084892,0.00922013061851712
212,0.005031446540880502,,0.0031201248049923525,0.0009287925696594981,0.003697996918335722,0.002766676913618093,0.002769230769230857,0.0034129692832767233,0.0034225264467953047,,-0.002430133657351119,,0.0,0.0,-0.010514018691588745,0.003456221198156584,,,,,-0.023426061493411417,-0.022286125089863384,-0.02126151665485476,,-0.0019342359767892112,,-0.0009596928982725793,-0.004283674440742513,-0.005233111322549999,-0.007119126720455671,-0.0019342359767892112,-0.0009823182711198306,,,-0.004927456884752268,,,-0.0036795924143787633,-0.001151079136690547,-0.002019036631093152,-0.0002895193977995314,0.0,-0.0005913660555884048,-0.00029726516052308577,,-0.030627871362940318,-0.03274942878903275,-0.026840490797546024,-0.028766086298258938,-0.02910447761194035,,,-0.0011918951132300348,-0.0005865102639296406,-0.03693830921553698,-0.033117624666920475
213,0.004380475594493172,,0.0015552099533437946,0.003711722858026789,0.002456248081056156,-0.0003065603923972926,0.0,-0.0003092145949290525,-0.0006201550387597843,,0.0,,0.0,0.0,0.014167650531286881,-0.003444316877152742,,,,,0.00599700149925031,-0.006617647058823506,-0.007965242577842147,,0.004844961240310086,,0.002881844380403509,0.005736137667303964,0.011956001912960312,0.011950286806883259,0.0067829457364341214,0.007374631268436627,,,0.012379642365887287,,,0.014204545454545412,0.010371650821088927,0.009826589595375744,0.009267303793802473,0.008738712496358936,0.008875739644970349,0.008623253047873812,,-0.009478672985781977,-0.00866141732283465,-0.008668242710795915,-0.0070148090413094675,-0.006149116064565696,,,0.002983293556085842,0.0017605633802817433,-0.013048635824436494,-0.00905511811023618
214,0.0037383177570091686,,0.003105590062111529,0.0015408320493064398,0.0015313935681471325,0.006133088009812937,0.006136851795029097,0.006186204763377835,0.0037232392181199,,0.0073081607795371095,,0.005966587112171906,0.004694835680751242,0.00465657741559955,0.004608294930875667,,,,,-0.009687034277198192,0.011102886750555152,0.013868613138686037,,-0.0009643201542912648,,-0.0009578544061302764,0.000950570342205248,-0.002835538752362976,-0.0009447331128955573,-0.00048123195380178624,-0.0009760858955587537,,,0.008152173913043459,,,0.0028011204481792613,-0.0019960079840318783,-0.004006868918145279,-0.0028694404591105287,-0.0028876696505919512,-0.0046920821114370135,-0.003242924528301772,,0.013556618819776656,0.013502779984114309,0.014308426073131875,0.013343799058084692,0.010827532869296164,,,0.005353955978584235,0.00410076157000594,0.018429487179487225,0.014700039729837132
215,-0.006517690875232796,,-0.0030959752321979557,-0.0030769230769230878,-0.0070336391437310075,-0.009143553794574988,-0.009149130832570851,-0.009529664924684987,-0.006182380216383399,,-0.01209189842805325,,-0.011862396204033177,-0.011682242990654236,-0.011587485515643148,-0.0034403669724770714,,,,,-0.030850263355906682,-0.02855051244509521,-0.029517638588912883,,-0.00579150579150578,,-0.007190795781399807,-0.010446343779677124,-0.006161137440758302,-0.009456264775413723,-0.010110736639383777,-0.008793356130923358,,,0.0,,,-0.005027932960893877,-0.006285714285714228,-0.0045977011494253706,-0.00575539568345329,-0.004344048653344923,-0.003241013553329286,-0.004140786749482484,,-0.038552321007081065,-0.03526645768025083,-0.03448275862068961,-0.03330751355538342,-0.030604437643458327,,,-0.014792899408283988,-0.012835472578763165,-0.037765538945712,-0.03641346906812848
