,CME_ED1,CME_ED10,CME_ED11,CME_ED12,CME_ED13,CME_ED14,CME_ED15,CME_ED16,CME_ED17,CME_ED18,CME_ED19,CME_ED2,CME_ED20,CME_ED21,CME_ED22,CME_ED23,CME_ED24,CME_ED25,CME_ED26,CME_ED27,CME_ED28,CME_ED29,CME_ED3,CME_ED30,CME_ED31,CME_ED32,CME_ED33,CME_ED34,CME_ED35,CME_ED36,CME_ED37,CME_ED4,CME_ED5,CME_ED6,CME_ED7,CME_ED8,CME_ED9,CME_FF10,CME_FF11,CME_FF12,CME_FF13,CME_FF14,CME_FF15,CME_FF16,CME_FF17,CME_FF18,CME_FF19,CME_FF2,CME_FF20,CME_FF21,CME_FF22,CME_FF23,CME_FF24,CME_FF3,CME_FF4,CME_FF5,CME_FF6,CME_FF7,CME_FF8,CME_FF9,CME_FV1,CME_FV2,CME_GC1,CME_GC10,CME_GC11,CME_GC12,CME_GC13,CME_GC2,CME_GC3,CME_GC4,CME_GC5,CME_GC6,CME_GC7,CME_GC8,CME_GC9,CME_I31,CME_JY1,CME_JY2,CME_MGC1,CME_MGC2,CME_N1U1,CME_PA1,CME_PA2,CME_PL1,CME_PL2,CME_PL3,CME_SA1,CME_SI1,CME_SI10,CME_SI11,CME_SI12,CME_SI2,CME_SI3,CME_SI4,CME_SI5,CME_SI6,CME_SI7,CME_SI8,CME_SI9,CME_TN1,CME_TN2,CME_TU1,CME_TU2,CME_TY1,CME_TY2,CME_UL1,CME_UL2,CME_US1,CME_US2
0,,,,,,,-0.00035612535612528085,,,-0.0003589743589743621,,,-0.00041217991653363933,-0.00041305245766221077,-0.00041388587097102025,-0.000414636674613833,-0.0004153255113695797,-0.00020797587479859383,,-0.0002085070892410279,-0.00020874647740309893,-0.0002089427496865248,0.0,-0.0002091175240485077,-0.00020928164076805533,-0.00020943504895554188,-0.00010477238200001791,-0.00010482729702809834,-0.0001048767697954256,-0.0001049262892818259,-0.0001049593282603789,,0.00010026067776225388,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005695792880258121,,-0.003095040386502657,,,,,-0.00301977955609245,-0.0030202355783751638,,-0.00301977955609245,-0.0030943396226414954,-0.0031683765841881146,,,,-0.00020460358056262343,-0.00020449897750507429,,,,-0.002374008003798389,,0.0,0.0,0.0,,-0.0021919810028313558,,,,-0.002190380578625639,-0.0022796699037979096,-0.0023220871465647885,-0.0024102960571195093,-0.002406465673810421,-0.002405264352167036,,,,,0.00014184397163119478,-0.0003552423069030919,-0.002108919488897132,,,,0.0018735362997657208,
1,,,,,,,-0.0003053745928338625,,,-0.0003078028010055079,,,-0.00020616431295750195,-0.00015494267121163308,-0.00015524736079486345,-0.00015552099533433503,-0.00010385294423098657,0.0,,0.0,0.0,0.0,0.0,0.0,5.231219920487362e-05,5.235053921048838e-05,5.2377959354865666e-05,5.240540823825413e-05,5.243013684275155e-05,5.245488879568328e-05,5.247140308517473e-05,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012962770921909342,,0.010876954452753164,,,,,0.010878597869607765,0.01087941976427942,,0.010801420046831378,0.010798972964808806,0.010720217424128098,,,,-0.00010248001639678872,0.00020491803278699367,,,,0.004121621621621553,,0.009460406447091785,0.009454443588486685,0.009454443588486685,,0.012349646497107793,,,,0.012478209010000851,0.012560165024066094,0.012682569479419705,0.012670386972829515,0.012696962776889809,0.012690587053775236,,,,,-7.091438055573107e-05,-7.105551373509654e-05,-0.0004978220286248058,,,,-0.0018783752054473133,
2,,,,,,,0.0005600244374299733,,,0.0007184276697285162,,,0.0007217238890608879,0.0006198667286534397,0.0006728430205475977,0.0006740291387981046,0.0006751142501038032,0.0005719931360823606,,0.0005212405525150121,0.00046963055729487557,0.00047004752702783925,0.0,0.0004704406460718236,0.00047078516503629153,0.0004711301889754882,0.00047137694443000194,0.0004192212964417852,0.0004194191045401308,0.0004196170993966408,0.00041974919985299236,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001555330896648277,0.0009155113784986568,0.003511918105058687,,,,,0.003512443016217004,0.003736920777279496,,0.0035121805410252005,0.003511393350765779,0.003510606513295489,,,,0.0032796966280619344,0.003278016799836081,,,,-0.009353340959558532,,0.000833044081915979,0.0008325239350630563,0.0008325239350630563,,-0.003990748718878835,,,,-0.003896692342546415,-0.003983883380868525,-0.003933447870512864,-0.003884547630877533,-0.003833491182970272,-0.003831590335376833,,,,,0.00014188422247451982,0.0002132726755756931,0.002614867388868181,,,,0.0016466713714420322,0.007631767231099484
3,,,,,,,0.0002544140843636633,,,0.00025639710784064457,,,0.0003090871625799352,0.00046461204893910585,0.0004137788352125416,0.000414507772020789,0.0004151746328300288,0.000519696497245814,,0.0005730659025788842,0.000625880143952484,0.0006264355815410737,0.0,0.0006792058516196242,0.0006797030220642152,0.000680200920887275,0.0006805570097372371,0.0006809491383374944,0.0006812703070957492,0.0006815917789546598,0.0006818062621283262,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0053575588166783214,,-0.011020104244229278,,,,,-0.011021745606195954,-0.011169024571854091,,-0.010871993447017723,-0.01094401429422276,-0.010941570524748869,,,,-0.0029625089386045023,-0.0029609965284868034,,,,-0.006249150930580094,,-0.009363945342304223,-0.00935810342437271,-0.00935810342437271,,-0.03228156444930108,,,,-0.032387190684134086,-0.03236216535612002,-0.032318097226635034,-0.03228585679952856,-0.03223469757334318,-0.032218652427711825,,,,,0.00021277344304171383,-0.00760431508539683,0.00037257824143077656,,,,0.005871301080319302,-0.00023668639053253668
4,,,,,,,0.0003052192491606043,,,0.0003588639393006243,,,0.00036049026676265866,0.00025799793601644083,0.0002585048081895636,0.0003107520198879499,0.00031125175079105283,0.00020777062123422676,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.007728337236533989,,0.00255985544345716,,,,,0.0028614457831324107,0.0028614457831324107,,0.003011367913874796,0.003086187429431675,0.003236002408187888,,,,0.0038934426229508814,0.0038914490527393038,,,,0.01469583048530421,,0.017224478364374685,0.017003708627807868,0.017003708627807868,,0.002822998023901402,,,,0.002867619405791721,0.002959274742824647,0.0030020169801585612,0.003092638583009233,0.003087574850299424,0.003085986814420183,,,,,-1.4160698144305426e-05,0.007791463763964446,0.003476101800124143,0.005920886873267861,,,0.005603548914312473,0.008049242424242431
5,5.012782595614773e-05,0.00035734340701432116,0.00030710958693758167,0.0003078185922429366,0.00035991567689852566,0.0004121162167729509,0.00041288191577204536,0.00041354355130529536,0.0003623938703665175,0.0003110419906686701,0.00031146179401986274,5.014039310058394e-05,0.000259848248622907,0.0003623938703665175,0.0003110419906686701,0.00031146179401986274,0.000259848248622907,0.0004699738903395368,0.0004702931493965057,0.0004706374522827073,0.0004708590561892656,0.00047110552763829366,0.00010034115994383974,0.000471327572663105,0.0004715498270981833,0.00047169811320735283,0.0004718464926076749,0.0004719949653870792,0.0004721683017678835,0.00047226740830152986,0.00047244094488196886,0.0001507159005276204,0.000201359174427429,0.0002522958926227669,0.00035421516040878837,0.0004060089321966665,0.0003563066273031268,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006100350770169238,,,,,-0.007160268129189462,-0.006099885627144475,-0.006100350770169238,-0.006098955553861418,-0.0060975609756097615,-0.0060952380952380425,,,,0.002044362669937572,0.0019411524315489095,-0.005110602593440206,-0.0055627524194162845,,-0.008107423359513533,-0.0104509754243729,-0.010137989298789174,-0.010134421845309329,-0.010134421845309329,,-0.009822099724379751,,,,-0.009869739478958084,-0.009960458481405364,-0.009943039872089443,-0.00992964422932996,-0.009911345751568823,-0.009906411788132341,,,,,0.00042612130895602895,7.124279059866899e-05,0.002657891406151025,,,,-0.00023479690068095585,
6,5.0125313283189143e-05,-0.00015309246785055739,-5.116921659942264e-05,0.0,0.00010279605263163738,0.00010298661174057422,0.00015476681799420078,0.0001550147263991164,0.0003105107902499072,0.00031094527363184627,0.00036325895173860984,5.0137879167744266e-05,0.00036369304307171113,0.0003105107902499072,0.00031094527363184627,0.00036325895173860984,0.00036369304307171113,0.0005219479095985856,0.0005745325394337363,0.0006794898599205013,0.0007321027035507299,0.0007848061528803463,0.0,0.0008375209380233617,0.0008902854150301119,0.0008905652470010407,0.0008908452549389877,0.0008911254390102652,0.0008914525432617283,0.0008916395678171262,0.0008919670496876363,-5.023106288937207e-05,-0.00010065931853642242,-0.0002017858043685816,-0.0001517527441954325,-0.00015219155844159451,-0.00015264845061824242,,,,,,,,,,,,,,,,,,,,,,,,,-0.0014433801338407106,-0.006674850391284347,,,,,-0.006598127972993861,-0.006674338319907935,-0.006367960718121957,-0.0063664953593617355,-0.006211656441717728,-0.006055960137983929,,,,-0.0012241150668163006,-0.0011216478025899423,-0.010657057425438876,-0.009961685823754785,,-0.028224776500638593,-0.02617935095692236,-0.006614509246088196,-0.006612157838606469,-0.006612157838606469,,-0.0034920795586820264,,,,-0.0027829782927693003,-0.0018705763397371953,-0.002271006813020504,-0.0017639350871886395,-0.0031188691584084216,-0.0025642314847402763,,,,,7.095968199899438e-05,0.00035609742201958566,0.0006311537490533148,,,,0.008689525598872816,
7,5.0122800862251175e-05,-0.00035727045373346034,-0.0004605465151978905,-0.000461585803672171,-0.0006167129201356536,-0.0006178560395427858,-0.0006189714757312004,-0.000568299235379266,-0.0007760360080708573,-0.0007253134390219351,-0.0006743787933808365,5.0135365486703165e-05,-0.0006232471174820732,-0.005483987790366851,-0.0050253859703657255,-0.004668776261866458,-0.004206918043004104,-0.00046950805988832384,-0.00041760192096873533,-0.00036563071297990296,-0.00036578356064165263,-0.0003659556670848607,0.0,-0.00036610878661080815,-0.0003662620343239942,-0.00031403747513869534,-0.0002617801047121171,-0.0002618623651409191,-0.00026195840100595724,-0.000262013310276199,-0.0002621094569090765,5.023358617584073e-05,-5.03347259274145e-05,-0.00020182653009737092,-0.0003035515531720767,-0.00035516768988785863,-0.0003562340966920541,,,,,,,,,,,,,,,,,,,,,,,,,-0.00026281208935607925,-0.0006951417316753973,,,,,-0.0005406240345999791,-0.00038616002471425487,-0.00038607057370088066,-0.00030878493129538054,-0.0003086657921136382,-0.00030849915162722835,,,,-0.00612807680522931,-0.006124948958758703,0.0031773093614382297,0.0011609907120742056,,0.017347877513471003,0.017352438543446702,0.0057277869263263614,0.005940452333237811,0.007157171485828728,,0.0041645505332656985,,,,0.004160746904810164,0.0042040216785697035,0.004248861911987811,0.004291412127025661,0.004289246606449026,0.0042847061195683276,,,,,0.0,-0.0002135915093365304,-0.002396871451999516,,,,-0.008847497089639167,
8,0.0,0.00020422750944537604,0.00010239082578200608,0.0,0.0,-5.151983513651537e-05,-0.00015483870967747393,-0.0002584647195656986,-0.00025887956922432403,-0.00031107424305265585,-0.0003633720930231732,-5.013285205790474e-05,-0.00036378754807187,-0.0004161681319252431,-0.00041655818797192717,-0.0004169489758691913,-0.00041725342930154513,-0.0004175365344466497,-0.00041777638518991633,-0.00041801651165207515,-0.00041819132253007035,-0.0003660896396633362,0.0001003310926055434,-0.00031392246115213846,-0.00026171159382371023,-0.0002617801047121171,-0.0002618486514793794,-0.00026193095500015584,-0.0002096216329524614,-0.00020966558339441388,-0.00015730690577320241,0.0002009242515570442,0.00025168629819805055,0.0004037345445369045,0.00040485829959524544,0.00040605014719319316,0.00030545232398315747,,,,,,,,,,,,,,,,,,,,,,,,,0.0007097791798107432,-0.008038336682640201,,,,,-0.008036473224634744,-0.008112493239588958,-0.008110613316854587,-0.008108108108108136,-0.008104978772674687,-0.008100601758987858,,,,-0.0017469941424314015,-0.004005751848808581,-0.009115488605639157,-0.007189795129493581,,0.004392197390517882,0.004393332471895661,0.009824161742720829,0.009747420846673904,0.009664582148948277,,-0.0019219097713939481,,,,-0.001920161697827161,-0.0018662362554221488,-0.0018636043114736989,-0.0018600442388899683,-0.0018591096372224671,-0.0018571500276062245,,,,,-0.002626139601133226,0.0005696382796924747,-0.0005058168942843054,,-0.001080847384349326,,0.0016443504815597534,
9,5.012028869288976e-05,0.0,5.119017148724758e-05,0.0,-5.1424457472082345e-05,-0.00015456746870012858,-0.00015486268841624629,-0.00015511892450881248,-0.00020715728416798032,-0.00020744736023226015,-0.00025964584306992217,5.0135365486703165e-05,-0.0002599428125811265,-0.00036429872495447047,-0.00041673178100754,-0.0004692632566870581,-0.0005217845030002222,-0.0005221386800335903,-0.0005224387440572187,-0.0005750130684788468,-0.0005752536345570157,-0.0005754944020088804,5.016051364359342e-05,-0.0005757052389175897,-0.0005759162303665687,-0.0005760670332547457,-0.0005762179151388437,-0.0005763990777615247,-0.0005765803543349435,-0.0005767012687428741,-0.0005768827354730721,5.022097227791456e-05,5.032459362896979e-05,5.0446451092200924e-05,5.058680696068407e-05,0.0,5.089317522521952e-05,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002960885148823533,,,,,-0.002960193191555605,-0.002959962610998512,-0.0030371466396696967,-0.003036200856364468,-0.0030350194552529737,-0.0031111456793964103,,,,-0.004632489190858569,-0.0047437351758276005,-0.0015592110392141922,-0.004204952499610726,,0.006237942122186535,0.006239547150392433,0.006697215368346887,0.0065529875986471975,0.006475225225225367,,-0.003293807641633784,,,,-0.0032401782098014924,-0.003234119965637494,-0.0031790886612503844,-0.0030722739864014192,-0.003020387616410658,-0.003017198028763879,,,,,-8.539709649879601e-05,-0.0023626530031313213,-0.0011386639676113086,,-0.005842891149101971,,-0.0046904315196998345,
